Text,Ham,Spam
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",1,0
"Last chance to get 500 BONUS POINTS on shopping of Rs.3500 in a bill. Visit Shoppers Stop, Bannerghatta NOW! For details click bit.ly/SSbnpts .T&C",0,1
IM GONNA MISS U SO MUCH,1,0
"Alert! Your Vi Unlimited pack EXPIRES in 6 Days. Recharge with best offers: bit.ly/Vi121NAT 1)299:5GB+4GB/D+UL,28D 2)699:4GB/D+UL,84D",0,1
Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,0,1
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,1,0
"Alert! Your Unlimited pack is expiring on 28/10/21. Recharge with 1)299:4GB/D+UL,28D 2)399:1.5GB/D+UL,56D 3)599:1.5GB/D+UL,84D Click bit.ly/ViRC20",0,1
Package all your programs well,1,0
Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,1,0
Rate Revsng soon. Xperience Beachside Living. Supertch Holiday Village. Xpandabl Villas at Yamuna Xprsway Size 1575/2200 sf @27 lac onwrds Call-9560210003,0,1
Wish you A Happy New Year all. Have a peaceful year ahead????,1,0
Stupid.it is not possible,1,0
"Jus chillaxin, what up",1,0
Ü ready then call me...,1,0
SHOPEE We have detect a login attempt to your account IfSHOPEE We have detect a login attempt to your account If this be you click here to confirm Shopee invite you to experience online earn commission WFH Daily Earnings XXX no time limit free for work Kindly PM Whatsapp wa.me/ XXXXXXXXXX,0,1
"Sorry, I'll call later..hope u knw..",1,0
Booked ticket for pongal?,1,0
Your FedEx shipment be due for delivery 07/23 If you wish to make change go to https //www.fedex.com/ en/delivery s=83v9JWJD To stop SMS send STOPYour FedEx shipment be due for delivery 07/23 If you wish to make change go to https //fedex.delivery/ 83v9JWJD To stop SMS send STOP,0,1
your SIM card ha 's be BLOC-KED due to K.Y.C update within XX hrs please countact customer care no XXXXXXXXXX to continue your service Thank Y,0,1
645,1,0
Rejet de prélèvement veuillez confirmer vos information de paiement sous 24h ou votre compte serum suspendu,0,1
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",0,1
December only! You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,0,1
Can you use foreign stamps for whatever you send them off for? ,1,0
Yeah I don't see why not,1,0
"Swap your faulty Spectranet device for a working FREEDOM MIFI for just N10,000 also get 10GB Bonus on renewal Limited stock available HURRY Ts Cs apply",0,1
Detecting Scatter Swine Insights relentless phishing campaign,0,1
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 29th Aug 2021. TnC,0,1
Will be out of class in a few hours. Sorry,1,0
"Hi Vi customer, A click makes your life so easy! View balance, make payment & do much more using Vi WhatsApp. Click wa.me/919654297000?text=balance.",0,1
"And how you will do that, princess? :)",1,0
Upgrade Paket Kamu ke TELKOMSEL HALO skrg Mulai paket 100rb hingga kuota 150GB Ada,0,1
"ANC bring you Family Funeral Cover from R97 per month Cover up to R20,000 for you your spouse and up to X Children Reply YES FREE .Stop=OptOut.T C.Auth",0,1
amazon.com Your card have be charge for XX at AMAZON if not place by you Call XXX,0,1
U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,1,0
A partir del 12/05/2022 No puede utilizar su Tarjeta Tienes que activar el nuevo sistema de seguridad web http //t.co/8pug.grAxpcSeguridad online Apartir del 12/05/2022 no podra utilizar sus tarjetas si no actualiza la seguridad de su cuenta hagalo desde http //han.gl/ YOKIn,0,1
obile kharidne ya bechne ke liye dial karein *321*669# (toll-free) aur subscribe karein Mobile Bazaar kewal Rs10/10 Din mein ,0,1
Now   Write Loooooong 140 character messages @ WAY2SMS.COM. Express more...Visit WAY2SMS.COM Now.-Enjoy SMSingWAY2SMS TEAM ,0,1
Verisure -XX sur nos pack protection,0,1
Dear customer we be unable to deliver your package because ... http //brownstoneins.net/speed/,0,1
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",1,0
+33 X XX XX XX XX Netflix Erreur sur le renouvellement de votre abonnement Mettez à jour vos information ci-dessous http //,0,1
"I'm in a meeting, call me later at",1,0
Keep my payasam there if rinu brings,1,0
K..k:)how about your training process?,1,0
Should I have picked up a receipt or something earlier,1,0
May be down,1,0
"India's exports to China dipped by 9.44 per cent to $1.05 billion, while imports rose by 13.05 per cent to $10.28 billion in July, according to the commerce ministry data.",1,0
Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,1,0
CLARO TE REGALA 25GB GRATIS Suscribite a CLARO DRIVE y almacena tus mejores momentos de esta SEMANA SANTA Acepta,0,1
Pai International Electronics World Cup Offer. Win 5 Chevrolet Spark Cars  LCDs  Digital Cameras   MicroOvens & many more  Lucky Draw coupon on Rs2000 & above T&C,0,1
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",0,1
Hot or Not? What do you think  are drop crotch pants hot or not? ^H/N All your interactions with Blyk on Aircel are free,0,1
NOW Displaying the NEW Summer Collection at JOHN PLAYERS Dwarka Sec-5 (near HDFC Bank) ,0,1
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,0,1
SBI NET BANKING Account will be Suspended by today Please Update Your Pancard now visit the link http,0,1
Good day ka-toktok Your booking have be place You can track your book status at http //toktok.ph/delivery /tracking number/dDF4TFpFN1ZmZFgxGood day ka-toktok You have a delivery from mangboks avi You can now track the delivery at toktok.ph/book/d/t/RTdH SVFUWFICeS8rdC82aS9rRWdqQT09,0,1
successfully be vaccinate with your Precaution Dose with COVISHIELD on XX-XX-XXXX at 03:10 PM You may download your vaccination Certificate from http //cowin.gov.in COWIN,0,1
PrOmO menarik ada di EY4NGP USER cutt.ly/ EY4N6,0,1
WHATS YOUR NUMBER CONTEST  Get15 Grams SilverCoin on 1case & Get15 Grams Silver + Titan WristWatch on 2cases subject to min prem.of 10K.....-160by2.com {Catch the legendry detective SHERLOCK HOLMES in an all new avatar. In cinemas 8 Jan'10} ,0,1
"2/2 Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. Claim UNLIMITED 5G data over & above your plan limit, claim on Airtel Thanks App. Also get 1 Xstream channel on Airtel Xstream App for 84 days. To claim, click open.airtelxstream.in/Xstream_Mobile",0,1
Los mensajes y la llamadas están cifrados de extremo a extremo Nadie fuera de este chat ni siquiera WhatsApp puede leerlos ni escucharlos Toca para obtener más información XIHola Aydee Yamilet eres nuestro usuario X estrellas por eso HOY te traemos una regalito SIN COSTO ¿Te gustaría,0,1
I'm awake oh. What's up.,1,0
R u saying i should re order the slippers cos i had to pay for returning it.,1,0
activity your card have be place on hold,0,1
Recharge with Rs47 and get 500 Local/National SMS/day for 30 days,0,1
I've told him that i've returned it. That should i re order it.,1,0
<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,0,1
CITI Msg A hold have be place on your banking Click on the link below for more information,0,1
Okay... I booked all already... Including the one at bugis.,1,0
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",1,0
Restarting the laptop,1,0
Jay's getting really impatient and belligerent,1,0
